user_id,timestamp,title,url
guest,2025-04-14T15:38:13.556171,points cto takes us inside his plans for tech expansion from ai to india,https://www.businessinsider.com/point72-cto-ilya-gaysinskiy-tech-talent-ai-plans-hedge-fund-2025-3
guest,2025-04-14T15:38:27.458684,what is the meta ai button in whatsapp and how do i remove it,https://www.wired.com/story/what-is-the-meta-ai-button-in-whatsapp-and-how-do-i-remove-it/
guest,2025-04-14T15:38:35.337527,sam altmans aigenerated cricket jersey image gets indians talking,https://www.bbc.com/news/articles/c2lz9r7n15do
guest,2025-04-14T15:51:09.878400,points cto takes us inside his plans for tech expansion from ai to india,https://www.businessinsider.com/point72-cto-ilya-gaysinskiy-tech-talent-ai-plans-hedge-fund-2025-3
guest,2025-04-14T15:56:57.899036,knight sacked as england captain after ashes thrashing,https://www.bbc.com/sport/cricket/articles/c0qwlpyl2d2o
guest,2025-04-14T16:01:47.113004,what is the meta ai button in whatsapp and how do i remove it,https://www.wired.com/story/what-is-the-meta-ai-button-in-whatsapp-and-how-do-i-remove-it/
guest,2025-04-14T16:11:01.504809,what is the meta ai button in whatsapp and how do i remove it,https://www.wired.com/story/what-is-the-meta-ai-button-in-whatsapp-and-how-do-i-remove-it/
guest,2025-04-14T16:11:06.648091,sam altmans aigenerated cricket jersey image gets indians talking,https://www.bbc.com/news/articles/c2lz9r7n15do
guest,2025-04-14T16:11:11.046570,knight sacked as england captain after ashes thrashing,https://www.bbc.com/sport/cricket/articles/c0qwlpyl2d2o
guest,2025-04-14T16:11:18.825507,sam altmans aigenerated cricket jersey image gets indians talking,https://www.bbc.com/news/articles/c2lz9r7n15do
vinutna,2025-04-14T16:23:55.540850,sam altmans aigenerated cricket jersey image gets indians talking,https://www.bbc.com/news/articles/c2lz9r7n15do
vinutna,2025-04-14T16:24:08.271330,us student develops antisnakebite armor shocks industry with orders,https://interestingengineering.com/innovation/us-student-anti-snakebite-armor
vinutna,2025-04-14T16:24:24.962706,knight sacked as england captain after ashes thrashing,https://www.bbc.com/sport/cricket/articles/c0qwlpyl2d2o
guest,2025-04-16T11:10:53.082488,GEE Group (NYSE:JOB) Coverage Initiated by Analysts at StockNews.com,https://www.etfdailynews.com/2025/04/15/gee-group-nysejob-coverage-initiated-by-analysts-at-stocknews-com/
guest,2025-04-16T11:11:18.923346,Stock market update: Fertilisers stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/120300199.cms
guest,2025-04-16T11:11:24.284722,New research highlights wealth divide between North and South,https://www.irishtimes.com/business/2025/04/15/new-research-highlights-wealth-divide-between-north-and-south/
guest,2025-04-16T11:13:45.540980,Stock market update: Fertilisers stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/120300199.cms
guest,2025-04-16T11:15:38.988237,ibm us cuts may run deeper than feared and the jobs are heading to india,https://slashdot.org/story/25/03/28/0623217/ibm-us-cuts-may-run-deeper-than-feared---and-the-jobs-are-heading-to-india
guest,2025-04-16T11:15:43.450716,apple stock falls as trump tariffs target supply chain,https://www.macrumors.com/2025/04/02/apple-stock-trump-tariffs/
sahithi,2025-04-16T11:45:21.428813,Allu Arjun Has A Birthday Present For You!,https://www.rediff.com/movies/report/allu-arjun-has-a-birthday-present-for-you/20250408.htm
sahithi,2025-04-16T11:45:23.755259,"Allu Arjun birthday: From Ala Vaikunthapurramuloo to Vedam, 7 must-watch movies of the Pushpa star",https://economictimes.indiatimes.com/news/entertainment/allu-arjun-birthday-from-ala-vaikunthapurramuloo-to-vedam-7-must-watch-movies-of-the-pushpa-star/articleshow/120091197.cms
